Game_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,Player_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Position
22400838,1610612752,NYK,New York,1626157,Karl-Anthony Towns,Karl-Anthony,,DND - Injury/Illness,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,Center-Forward
22400838,1610612752,NYK,New York,1626153,Delon Wright,Delon,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,Guard
22400953,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,42.000000:10,105.6,109.5,103.3,106.0,2.2,3.6,0.29,3.0,33.3,0.07,0.178,0.125,11.1,0.357,0.37,0.184,0.189,98.63,95.62,79.68,84,0.104,Guard
22400953,1610612752,NYK,New York,1628384,OG Anunoby,OG,F,,43.000000:11,114.2,115.5,107.7,109.9,6.5,5.6,0.1,3.0,11.1,0.023,0.125,0.077,3.7,0.475,0.508,0.242,0.253,93.1,91.7,76.42,84,0.12,Forward-Guard
22400953,1610612752,NYK,New York,1626157,Karl-Anthony Towns,Karl-Anthony,C,,38.000000:35,107.7,112.2,102.7,101.4,5.1,10.7,0.167,1.33,19.0,0.071,0.091,0.081,14.3,0.75,0.763,0.189,0.195,90.93,89.56,74.64,74,0.193,Center-Forward
22400953,1610612752,NYK,New York,1628969,Mikal Bridges,Mikal,G,,40.000000:43,104.7,107.5,103.4,106.3,1.3,1.2,0.2,1.33,12.9,0.0,0.093,0.047,9.7,0.667,0.698,0.287,0.296,96.31,93.72,78.1,80,0.193,Guard-Forward
22400953,1610612752,NYK,New York,1630540,Miles McBride,Miles,G,,38.000000:08,100.7,105.2,105.9,109.2,-5.2,-4.0,0.185,2.5,26.3,0.0,0.024,0.012,10.5,0.458,0.458,0.156,0.162,99.92,96.29,80.24,77,0.067,Guard
22400953,1610612752,NYK,New York,1630173,Precious Achiuwa,Precious,,,8.000000:50,95.5,88.9,105.9,111.1,-10.5,-22.2,0.0,0.0,0.0,0.143,0.125,0.133,0.0,0.0,0.0,0.105,0.113,96.83,97.81,81.51,18,-0.017,Forward
22400953,1610612752,NYK,New York,1626153,Delon Wright,Delon,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,Guard
22401010,1610612752,NYK,New York,1628384,OG Anunoby,OG,F,,37.000000:31,104.2,105.3,123.6,126.0,-19.4,-20.7,0.095,2.0,8.0,0.049,0.121,0.081,4.0,0.447,0.555,0.271,0.281,99.34,97.88,81.56,76,0.115,Forward-Guard
22401010,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,39.000000:28,106.3,110.3,127.9,129.1,-21.7,-18.9,0.231,6.0,40.0,0.044,0.054,0.049,6.7,0.813,0.813,0.101,0.102,97.7,95.49,79.57,78,0.085,Guard
22401010,1610612752,NYK,New York,1626157,Karl-Anthony Towns,Karl-Anthony,C,,35.000000:49,105.6,106.9,125.0,127.8,-19.4,-20.8,0.176,3.0,11.5,0.025,0.3,0.143,3.8,0.524,0.548,0.284,0.295,98.18,96.49,80.41,72,0.141,Center-Forward
22401010,1610612752,NYK,New York,1628969,Mikal Bridges,Mikal,G,,32.000000:41,112.1,115.4,126.5,127.3,-14.4,-11.9,0.286,6.0,27.3,0.0,0.143,0.063,4.5,0.455,0.551,0.216,0.222,97.9,96.2,80.16,65,0.133,Guard-Forward
22401010,1610612752,NYK,New York,1630540,Miles McBride,Miles,G,,35.000000:55,110.8,113.9,128.5,127.4,-17.7,-13.5,0.231,0.0,37.5,0.0,0.091,0.041,0.0,0.45,0.45,0.123,0.125,97.85,96.89,80.74,72,0.05,Guard
22401010,1610612752,NYK,New York,1630173,Precious Achiuwa,Precious,,,17.000000:18,80.0,75.0,92.4,88.9,-12.4,-13.9,0.0,0.0,0.0,0.091,0.211,0.146,25.0,0.2,0.17,0.2,0.212,94.85,99.85,83.2,36,-0.069,Forward
22401010,1610612752,NYK,New York,1626153,Delon Wright,Delon,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,Guard
22401140,1610612752,NYK,New York,1628384,OG Anunoby,OG,F,,36.000000:24,122.5,121.9,108.5,109.6,13.9,12.3,0.176,1.5,13.6,0.077,0.111,0.097,9.1,0.941,0.941,0.238,0.245,96.53,96.26,80.22,73,0.204,Forward-Guard
22401140,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,37.000000:47,121.9,120.3,98.3,102.7,23.5,17.6,0.161,1.25,29.4,0.037,0.225,0.149,23.5,0.333,0.451,0.148,0.152,95.48,94.01,78.34,74,0.084,Guard
22401140,1610612752,NYK,New York,1626157,Karl-Anthony Towns,Karl-Anthony,C,,36.000000:25,126.6,124.3,97.9,102.7,28.6,21.6,0.04,1.0,5.6,0.077,0.268,0.194,5.6,0.538,0.607,0.21,0.219,99.04,97.54,81.28,74,0.154,Center-Forward
22401140,1610612752,NYK,New York,1628969,Mikal Bridges,Mikal,G,,39.000000:27,126.8,124.7,105.3,109.0,21.5,15.7,0.154,2.0,18.2,0.0,0.143,0.09,9.1,0.643,0.698,0.214,0.22,95.15,94.3,78.58,77,0.146,Guard-Forward
22401140,1610612752,NYK,New York,1628973,Jalen Brunson,Jalen,G,,34.000000:27,130.9,128.8,113.0,116.9,18.0,11.9,0.222,2.0,27.3,0.0,0.061,0.037,13.6,0.389,0.56,0.219,0.226,92.1,91.26,76.05,66,0.079,Guard
22401140,1610612752,NYK,New York,1630540,Miles McBride,Miles,,,15.000000:43,98.4,91.4,85.0,84.8,13.4,6.6,0.25,0.0,25.0,0.0,0.0,0.0,0.0,0.667,0.667,0.167,0.185,99.99,103.84,86.53,35,0.139,Guard
22401140,1610612752,NYK,New York,1630173,Precious Achiuwa,Precious,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,Forward
